"start_at", "end_at", "name", "type", "file_name"
"00:01:20", "00:01:23", "ាំ", "vowels", "PXL_20221005_045451616.mp4"
"00:01:25", "00:01:28", "ះ", "vowels", "PXL_20221005_045451616.mp4"
"00:01:29", "00:01:32", "ុះ", "vowels", "PXL_20221005_045451616.mp4"
"00:01:33", "00:01:35", "េះ", "vowels", "PXL_20221005_045451616.mp4"
"00:01:38", "00:01:41", "ោះ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:03", "00:00:04", "ា", "vowels", "PXL_20221005_050243833.mp4"
"00:00:07", "00:00:08", "ិ", "vowels", "PXL_20221005_050243833.mp4"
"00:00:11", "00:00:13", "ី", "vowels", "PXL_20221005_050243833.mp4"
"00:00:16", "00:00:18", "ឹ", "vowels", "PXL_20221005_050243833.mp4"
"00:00:20", "00:00:22", "ឺ", "vowels", "PXL_20221005_050243833.mp4"
"00:00:25", "00:00:26", "ុ", "vowels", "PXL_20221005_050243833.mp4"
"00:00:29", "00:00:31", "ូ", "vowels", "PXL_20221005_050243833.mp4"
"00:00:34", "00:00:36", "ួ", "vowels", "PXL_20221005_050243833.mp4"
"00:00:39", "00:00:41", "ើ", "vowels", "PXL_20221005_050243833.mp4"
"00:00:43", "00:00:45", "ឿ", "vowels", "PXL_20221005_050243833.mp4"
"00:00:54", "00:00:56", "ៀ", "vowels", "PXL_20221005_050243833.mp4"
"00:00:58", "00:01:01", "េ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:03", "00:01:04", "ែ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:08", "00:01:10", "ៃ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:12", "00:01:13", "ោ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:17", "00:01:18", "ៅ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:22", "00:01:23", "ុំ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:26", "00:01:27", "ំ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:30", "00:01:32", "ាំ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:35", "00:01:36", "ះ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:39", "00:01:40", "ុះ", "vowels", "PXL_20221005_050243833.mp4"
"00:01:43", "00:01:49", "េះ", "vowels", "PXL_20221005_050243833.mp4"
"00:02:02", "00:02:04", "ោះ", "vowels", "PXL_20221005_050243833.mp4"
