start_at,end_at,start_sec,end_sec,char,latin_char,type,video_name
00:01:17,00:01:20,77,80,ែ,srak_ae,vowel,PXL_20221005_045815608.mp4
00:01:22,00:01:24,82,84,ៃ,srak_ai,vowel,PXL_20221005_045815608.mp4
00:01:26,00:01:28,86,88,ោ,srak_ao,vowel,PXL_20221005_045815608.mp4
00:01:31,00:01:33,91,93,ៅ,srak_au,vowel,PXL_20221005_045815608.mp4
00:01:35,00:01:37,95,97,ុំ,srak_um,vowel,PXL_20221005_045815608.mp4
00:01:40,00:01:41,100,101,ំ,srak_om,vowel,PXL_20221005_045815608.mp4
00:01:44,00:01:46,104,106,ាំ,srak_oam,vowel,PXL_20221005_045815608.mp4
00:01:50,00:01:53,110,113,ះ,srak_ah,vowel,PXL_20221005_045815608.mp4
00:01:56,00:01:58,116,118,ុះ,srak_oh,vowel,PXL_20221005_045815608.mp4
00:02:00,00:02:03,120,123,េះ,srak_eh,vowel,PXL_20221005_045815608.mp4
00:02:06,00:02:08,126,128,ោះ,srak_aoh,vowel,PXL_20221005_045815608.mp4
00:00:03,00:00:04,03,04,ា,srak_a,vowel,PXL_20221005_050559568.mp4
00:00:06,00:00:08,06,08,ិ,srak_i,vowel,PXL_20221005_050559568.mp4
00:00:10,00:00:11,10,11,ី,srak_ei,vowel,PXL_20221005_050559568.mp4
00:00:14,00:00:15,14,15,ឹ,srak_oe,vowel,PXL_20221005_050559568.mp4
00:00:17,00:00:19,17,19,ឺ,srak_eu,vowel,PXL_20221005_050559568.mp4
00:00:22,00:00:23,22,23,ុ,srak_o,vowel,PXL_20221005_050559568.mp4
00:00:25,00:00:27,25,27,ូ,srak_ou,vowel,PXL_20221005_050559568.mp4
00:00:29,00:00:30,29,30,ួ,srak_uo,vowel,PXL_20221005_050559568.mp4
00:00:33,00:00:34,33,34,ើ,srak_aeu,vowel,PXL_20221005_050559568.mp4
00:00:37,00:00:38,37,38,ឿ,srak_oea,vowel,PXL_20221005_050559568.mp4
00:00:44,00:00:46,44,46,ៀ,srak_ie,vowel,PXL_20221005_050559568.mp4
00:00:52,00:00:54,52,54,េ,srak_e,vowel,PXL_20221005_050559568.mp4
00:00:56,00:00:58,56,58,ែ,srak_ae,vowel,PXL_20221005_050559568.mp4
00:01:05,00:01:06,65,66,ៃ,srak_ai,vowel,PXL_20221005_050559568.mp4
00:01:08,00:01:14,68,74,ោ,srak_ao,vowel,PXL_20221005_050559568.mp4
00:01:17,00:01:19,77,79,ៅ,srak_au,vowel,PXL_20221005_050559568.mp4
00:01:22,00:01:23,82,83,ុំ,srak_um,vowel,PXL_20221005_050559568.mp4
00:01:25,00:01:26,85,86,ំ,srak_om,vowel,PXL_20221005_050559568.mp4
00:01:28,00:01:30,88,90,ាំ,srak_oam,vowel,PXL_20221005_050559568.mp4
00:01:32,00:01:34,92,94,ះ,srak_ah,vowel,PXL_20221005_050559568.mp4
00:01:36,00:01:37,96,97,ុះ,srak_oh,vowel,PXL_20221005_050559568.mp4
00:01:41,00:01:42,101,102,េះ,srak_eh,vowel,PXL_20221005_050559568.mp4
00:01:50,00:01:51,110,111,ោះ,srak_aoh,vowel,PXL_20221005_050559568.mp4
00:00:07,00:00:08,07,08,ា,srak_a,vowel,PXL_20221005_050913585.mp4
00:00:10,00:00:12,10,12,ិ,srak_i,vowel,PXL_20221005_050913585.mp4
00:00:15,00:00:17,15,17,ី,srak_ei,vowel,PXL_20221005_050913585.mp4
00:00:19,00:00:21,19,21,ឹ,srak_oe,vowel,PXL_20221005_050913585.mp4
00:00:23,00:00:25,23,25,ឺ,srak_eu,vowel,PXL_20221005_050913585.mp4
00:00:28,00:00:29,28,29,ុ,srak_o,vowel,PXL_20221005_050913585.mp4
00:00:31,00:00:33,31,33,ូ,srak_ou,vowel,PXL_20221005_050913585.mp4
00:00:35,00:00:37,35,37,ួ,srak_uo,vowel,PXL_20221005_050913585.mp4
00:00:40,00:00:41,40,41,ើ,srak_aeu,vowel,PXL_20221005_050913585.mp4
00:00:43,00:00:44,43,44,ឿ,srak_oea,vowel,PXL_20221005_050913585.mp4
00:00:50,00:00:51,50,51,ៀ,srak_ie,vowel,PXL_20221005_050913585.mp4
00:00:53,00:00:55,53,55,េ,srak_e,vowel,PXL_20221005_050913585.mp4
00:00:57,00:00:58,57,58,ែ,srak_ae,vowel,PXL_20221005_050913585.mp4
00:01:01,00:01:02,61,62,ៃ,srak_ai,vowel,PXL_20221005_050913585.mp4
00:01:04,00:01:05,64,65,ោ,srak_ao,vowel,PXL_20221005_050913585.mp4
00:01:07,00:01:09,67,69,ៅ,srak_au,vowel,PXL_20221005_050913585.mp4
00:01:12,00:01:13,72,73,ុំ,srak_um,vowel,PXL_20221005_050913585.mp4
00:01:15,00:01:16,75,76,ំ,srak_om,vowel,PXL_20221005_050913585.mp4
00:01:19,00:01:21,79,81,ាំ,srak_oam,vowel,PXL_20221005_050913585.mp4
00:01:23,00:01:24,83,84,ះ,srak_ah,vowel,PXL_20221005_050913585.mp4
00:01:27,00:01:28,87,88,ុះ,srak_oh,vowel,PXL_20221005_050913585.mp4
00:01:30,00:01:31,90,91,េះ,srak_eh,vowel,PXL_20221005_050913585.mp4
00:01:41,00:01:42,101,102,ោះ,srak_aoh,vowel,PXL_20221005_050913585.mp4
00:00:00,00:00:05,00,05,ា,srak_a,vowel,PXL_20221005_045451616.mp4
00:00:06,00:00:09,06,09,ិ,srak_i,vowel,PXL_20221005_045451616.mp4
00:00:10,00:00:13,10,13,ី,srak_ei,vowel,PXL_20221005_045451616.mp4
00:00:14,00:00:18,14,18,ឹ,srak_oe,vowel,PXL_20221005_045451616.mp4
00:00:19,00:00:22,19,22,ឺ,srak_eu,vowel,PXL_20221005_045451616.mp4
00:00:23,00:00:25,23,25,ុ,srak_o,vowel,PXL_20221005_045451616.mp4
00:00:27,00:00:30,27,30,ូ,srak_ou,vowel,PXL_20221005_045451616.mp4
00:00:31,00:00:34,31,34,ួ,srak_uo,vowel,PXL_20221005_045451616.mp4
00:00:35,00:00:38,35,38,ើ,srak_aeu,vowel,PXL_20221005_045451616.mp4
00:00:39,00:00:42,39,42,ឿ,srak_oea,vowel,PXL_20221005_045451616.mp4
00:00:44,00:00:48,44,48,ៀ,srak_ie,vowel,PXL_20221005_045451616.mp4
00:00:49,00:00:52,49,52,េ,srak_e,vowel,PXL_20221005_045451616.mp4
00:00:53,00:00:56,53,56,ែ,srak_ae,vowel,PXL_20221005_045451616.mp4
00:00:58,00:01:01,58,61,ៃ,srak_ai,vowel,PXL_20221005_045451616.mp4
00:01:02,00:01:06,62,66,ោ,srak_ao,vowel,PXL_20221005_045451616.mp4
00:01:07,00:01:10,67,70,ៅ,srak_au,vowel,PXL_20221005_045451616.mp4
00:01:11,00:01:14,71,74,ុំ,srak_um,vowel,PXL_20221005_045451616.mp4
00:01:15,00:01:19,75,79,ំ,srak_om,vowel,PXL_20221005_045451616.mp4
00:01:20,00:01:23,80,83,ាំ,srak_oam,vowel,PXL_20221005_045451616.mp4
00:01:25,00:01:28,85,88,ះ,srak_ah,vowel,PXL_20221005_045451616.mp4
00:01:29,00:01:32,89,92,ុះ,srak_oh,vowel,PXL_20221005_045451616.mp4
00:01:33,00:01:35,93,95,េះ,srak_eh,vowel,PXL_20221005_045451616.mp4
00:01:38,00:01:41,98,101,ោះ,srak_aoh,vowel,PXL_20221005_045451616.mp4
00:00:03,00:00:04,03,04,ា,srak_a,vowel,PXL_20221005_050243833.mp4
00:00:07,00:00:08,07,08,ិ,srak_i,vowel,PXL_20221005_050243833.mp4
00:00:11,00:00:13,11,13,ី,srak_ei,vowel,PXL_20221005_050243833.mp4
00:00:16,00:00:18,16,18,ឹ,srak_oe,vowel,PXL_20221005_050243833.mp4
00:00:20,00:00:22,20,22,ឺ,srak_eu,vowel,PXL_20221005_050243833.mp4
00:00:25,00:00:26,25,26,ុ,srak_o,vowel,PXL_20221005_050243833.mp4
00:00:29,00:00:31,29,31,ូ,srak_ou,vowel,PXL_20221005_050243833.mp4
00:00:34,00:00:36,34,36,ួ,srak_uo,vowel,PXL_20221005_050243833.mp4
00:00:39,00:00:41,39,41,ើ,srak_aeu,vowel,PXL_20221005_050243833.mp4
00:00:43,00:00:45,43,45,ឿ,srak_oea,vowel,PXL_20221005_050243833.mp4
00:00:54,00:00:56,54,56,ៀ,srak_ie,vowel,PXL_20221005_050243833.mp4
00:00:58,00:01:01,58,61,េ,srak_e,vowel,PXL_20221005_050243833.mp4
00:01:03,00:01:04,63,64,ែ,srak_ae,vowel,PXL_20221005_050243833.mp4
00:01:08,00:01:10,68,70,ៃ,srak_ai,vowel,PXL_20221005_050243833.mp4
00:01:12,00:01:13,72,73,ោ,srak_ao,vowel,PXL_20221005_050243833.mp4
00:01:17,00:01:18,77,78,ៅ,srak_au,vowel,PXL_20221005_050243833.mp4
00:01:22,00:01:23,82,83,ុំ,srak_um,vowel,PXL_20221005_050243833.mp4
00:01:26,00:01:27,86,87,ំ,srak_om,vowel,PXL_20221005_050243833.mp4
00:01:30,00:01:32,90,92,ាំ,srak_oam,vowel,PXL_20221005_050243833.mp4
00:01:35,00:01:36,95,96,ះ,srak_ah,vowel,PXL_20221005_050243833.mp4
00:01:39,00:01:40,99,100,ុះ,srak_oh,vowel,PXL_20221005_050243833.mp4
00:01:43,00:01:49,103,109,េះ,srak_eh,vowel,PXL_20221005_050243833.mp4
00:02:02,00:02:04,122,124,ោះ,srak_aoh,vowel,PXL_20221005_050243833.mp4
00:00:02,00:00:06,02,06,ា,srak_a,vowel,PXL_20221012_073156470.mp4
00:00:07,00:00:09,07,09,ិ,srak_i,vowel,PXL_20221012_073156470.mp4
00:00:10,00:00:13,10,13,ី,srak_ei,vowel,PXL_20221012_073156470.mp4
00:00:14,00:00:17,14,17,ឹ,srak_oe,vowel,PXL_20221012_073156470.mp4
00:00:18,00:00:21,18,21,ឺ,srak_eu,vowel,PXL_20221012_073156470.mp4
00:00:22,00:00:25,22,25,ុ,srak_o,vowel,PXL_20221012_073156470.mp4
00:00:26,00:00:29,26,29,ូ,srak_ou,vowel,PXL_20221012_073156470.mp4
00:00:30,00:00:33,30,33,ួ,srak_uo,vowel,PXL_20221012_073156470.mp4
00:00:45,00:00:48,45,48,ើ,srak_aeu,vowel,PXL_20221012_073156470.mp4
00:00:49,00:00:53,49,53,ឿ,srak_oea,vowel,PXL_20221012_073156470.mp4
00:00:54,00:00:58,54,58,ៀ,srak_ie,vowel,PXL_20221012_073156470.mp4
00:00:59,00:01:02,59,62,េ,srak_e,vowel,PXL_20221012_073156470.mp4
00:01:02,00:01:05,62,65,ែ,srak_ae,vowel,PXL_20221012_073156470.mp4
00:01:06,00:01:10,66,70,ៃ,srak_ai,vowel,PXL_20221012_073156470.mp4
00:01:17,00:01:21,77,81,ោ,srak_ao,vowel,PXL_20221012_073156470.mp4
00:01:22,00:01:25,82,85,ៅ,srak_au,vowel,PXL_20221012_073156470.mp4
00:01:26,00:01:29,86,89,ុំ,srak_um,vowel,PXL_20221012_073156470.mp4
00:01:30,00:01:33,90,93,ំ,srak_om,vowel,PXL_20221012_073156470.mp4
00:01:42,00:01:46,102,106,ាំ,srak_oam,vowel,PXL_20221012_073156470.mp4
00:01:47,00:01:50,107,110,ះ,srak_ah,vowel,PXL_20221012_073156470.mp4
00:01:51,00:01:54,111,114,ុះ,srak_oh,vowel,PXL_20221012_073156470.mp4
00:01:55,00:01:58,115,118,េះ,srak_eh,vowel,PXL_20221012_073156470.mp4
00:02:04,00:02:07,124,127,ោះ,srak_aoh,vowel,PXL_20221012_073156470.mp4
00:00:01,00:00:04,01,04,ា,srak_a,vowel,PXL_20221012_073453141.mp4
00:00:05,00:00:09,05,09,ិ,srak_i,vowel,PXL_20221012_073453141.mp4
00:00:10,00:00:13,10,13,ី,srak_ei,vowel,PXL_20221012_073453141.mp4
00:00:14,00:00:17,14,17,ឹ,srak_oe,vowel,PXL_20221012_073453141.mp4
00:00:18,00:00:21,18,21,ឺ,srak_eu,vowel,PXL_20221012_073453141.mp4
00:00:21,00:00:25,21,25,ុ,srak_o,vowel,PXL_20221012_073453141.mp4
00:00:25,00:00:28,25,28,ូ,srak_ou,vowel,PXL_20221012_073453141.mp4
00:00:28,00:00:32,28,32,ួ,srak_uo,vowel,PXL_20221012_073453141.mp4
00:00:32,00:00:35,32,35,ើ,srak_aeu,vowel,PXL_20221012_073453141.mp4
00:00:36,00:00:40,36,40,ឿ,srak_oea,vowel,PXL_20221012_073453141.mp4
00:00:42,00:00:46,42,46,ៀ,srak_ie,vowel,PXL_20221012_073453141.mp4
00:00:47,00:00:50,47,50,េ,srak_e,vowel,PXL_20221012_073453141.mp4
00:00:51,00:00:54,51,54,ែ,srak_ae,vowel,PXL_20221012_073453141.mp4
00:00:55,00:00:59,55,59,ៃ,srak_ai,vowel,PXL_20221012_073453141.mp4
00:01:00,00:01:03,60,63,ោ,srak_ao,vowel,PXL_20221012_073453141.mp4
00:01:03,00:01:06,63,66,ៅ,srak_au,vowel,PXL_20221012_073453141.mp4
00:01:07,00:01:10,67,70,ុំ,srak_um,vowel,PXL_20221012_073453141.mp4
00:01:11,00:01:15,71,75,ំ,srak_om,vowel,PXL_20221012_073453141.mp4
00:01:15,00:01:19,75,79,ាំ,srak_oam,vowel,PXL_20221012_073453141.mp4
00:01:20,00:01:24,80,84,ះ,srak_ah,vowel,PXL_20221012_073453141.mp4
00:01:24,00:01:27,84,87,ុះ,srak_oh,vowel,PXL_20221012_073453141.mp4
00:01:28,00:01:31,88,91,េះ,srak_eh,vowel,PXL_20221012_073453141.mp4
00:01:31,00:01:35,91,95,ោះ,srak_aoh,vowel,PXL_20221012_073453141.mp4
